RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  2820070    M =  10

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.557E+00  5.491E+03
    1    2     1     0  ---    0  4.2E-03  1.0E+00  2.791E+00  5.354E+03
    2    3     0     0  con    0  1.0E+00  1.0E+00  1.629E+00  5.307E+03
    3    4     0     0  con    0  1.0E+00  1.0E+00  2.187E+00  5.264E+03
    4    5     0     0  con    0  1.0E+00  1.7E+00  1.542E+00  5.208E+03
    5    6     0     0  con    0  1.0E+00  2.1E+00  1.581E+00  5.159E+03
    6    7     0     0  con    0  1.0E+00  5.5E+00  2.447E+00  5.057E+03
    7    8     0     0  con    0  1.0E+00  2.3E+01  1.425E+00  4.678E+03
    8    9     0     0  con    0  1.0E+00  1.2E+02  5.087E+00  3.637E+03
    9   10     0     0  con    0  1.0E+00  1.6E+02  5.744E+00  3.070E+03
   10   11     0     0  con    0  1.0E+00  6.0E+00  4.219E+00  2.936E+03
   11   13     0     0  con    1  2.5E-01  1.5E+01  1.817E+00  2.931E+03
   12   34     1     0  ---    0  1.0E+00  7.8E+01  1.993E+00  2.603E+03
   13   35     0     0  con    0  1.0E+00  5.8E+01  2.520E+00  2.380E+03
   14   36     0     0  con    0  1.0E+00  3.7E+01  4.351E-01  2.230E+03
   15   37     0     0  con    0  1.0E+00  6.8E+00  2.699E+00  2.169E+03
   16   38     0     0  con    0  1.0E+00  1.4E+01  9.425E-01  2.044E+03
   17   39     0     0  con    0  1.0E+00  2.6E+01  2.038E+00  1.917E+03
   18   40     0     0  con    0  1.0E+00  5.7E+01  5.269E-01  1.774E+03
   19   41     0     0  con    0  1.0E+00  1.7E+01  1.079E-01  1.755E+03
   20   42     0     0  con    0  1.0E+00  2.6E+01  1.128E-01  1.725E+03
   21   43     0     0  con    0  1.0E+00  1.1E+02  1.014E-01  1.665E+03
   22   44     0     0  con    0  1.0E+00  2.8E+01  8.757E-02  1.579E+03
   23   45     0     0  con    0  1.0E+00  4.4E+01  1.191E-01  1.483E+03
   24   46     0     0  con    0  1.0E+00  1.9E+02  1.103E-01  1.389E+03
   25   47     0     0  con    0  1.0E+00  2.0E+02  5.419E-01  1.038E+03
   26   49     0     0  con    1  5.4E-01  2.3E+02  2.281E+00  8.857E+02
   27   51     0     0  con    1  4.3E-01  1.1E+02  4.337E-01  8.711E+02
   28   52     0     0  con    0  1.0E+00  2.7E+01  1.130E-01  8.603E+02
   29   53     0     0  con    0  1.0E+00  2.6E+01  2.021E-01  8.469E+02
   30   54     0     0  con    0  1.0E+00  9.5E+01  1.431E-01  8.204E+02
   31   56     0     0  con    1  3.5E-01  2.9E+01  3.650E-01  8.049E+02
   32   58     0     0  con    1  3.7E-01  3.7E+01  7.219E-01  7.901E+02
   33   61     0     0  con    2  1.4E-01  1.2E+01  5.277E-01  7.811E+02
   34   63     0     0  con    1  2.9E-01  1.7E+01  3.383E-01  7.746E+02
   35   74     0     0  con   10  2.8E-01  8.1E+00  2.879E-01  7.678E+02
   36   78     0     0  con    3  2.2E-03  3.9E-01  2.740E-01  7.676E+02
   37   79     0     0  con    0  1.0E+00  4.1E+01  1.169E-01  7.519E+02
   38   88     0     0  con    8  3.6E-02  1.4E+00  2.600E-01  7.512E+02
   39   91     0     0  con    2  1.4E-02  7.8E-01  6.070E-01  7.509E+02
   40   92     0     0  con    0  1.0E+00  8.7E+00  3.532E-01  7.483E+02
   41   95     0     0  con    2  2.7E+00  9.1E+00  9.826E-02  7.406E+02
   42   97     0     0  con    1  5.7E-02  1.2E+00  1.656E-01  7.392E+02
   43   98     0     0  con    0  1.0E+00  1.7E+01  3.027E-01  7.310E+02
   44   99     0     0  con    0  1.0E+00  1.9E+01  5.080E-01  6.994E+02
   45  100     0     0  con    0  1.0E+00  5.2E+01  3.015E-01  6.469E+02
   46  101     0     0  con    0  1.0E+00  3.2E+01  3.049E-01  6.287E+02
   47  102     0     0  con    0  1.0E+00  3.3E+01  1.073E-01  6.136E+02
   48  103     0     0  con    0  1.0E+00  2.3E+01  3.040E-01  6.076E+02
   49  106     0     0  con    2  2.1E-01  9.5E+00  3.191E-01  6.039E+02
   50  109     0     0  con    2  6.5E-02  1.1E+01  6.827E-01  6.012E+02
   51  110     0     0  con    0  1.0E+00  1.6E+01  3.015E-01  5.976E+02
   52  111     0     0  con    0  1.0E+00  5.2E+00  1.980E-01  5.917E+02
   53  112     0     0  con    0  1.0E+00  1.9E+01  9.124E-01  5.886E+02
   54  113     0     0  con    0  1.0E+00  1.8E+01  3.285E-01  5.725E+02
